"dataset","column","sample_values"
"GSE97760","source_name_ch1","""""Peripheral blood, replica 1"""" | """"Peripheral blood, replica 2"""" | """"Peripheral blood, replica 3"""" | """"Peripheral blood, replica 4"""" | """"Peripheral blood, replica 5"""""
"GSE97760","organism_ch1","""""Homo sapiens"""""
"GSE97760","characteristics_ch1","""""tissue: whole blood"""""
"GSE97760","characteristics_ch1.1","""""gender: Female"""""
"GSE97760","characteristics_ch1.2","""""disease: healthy"""" | """"disease: advanced Alzheimer's disease"""""
"GSE97760","treatment_protocol_ch1","""""peripheral blood"""""
"GSE97760","growth_protocol_ch1","""""n/a"""""
"GSE97760","molecule_ch1","""""total RNA"""""
"GSE97760","extract_protocol_ch1","""""Paxgene Blood RNA kit (Qiagen)"""""
"GSE97760","label_ch1","""""Cy3"""""
"GSE97760","label_protocol_ch1","""""The RNA samples were labeled with Cy3, purified using Qiagen columns and checked for labeling efficiency using the NanoDrop spectrophotometer (NanoDrop products)."""""
"GSE97760","taxid_ch1","""""9606"""""
"GSE97760","hyb_protocol","""""The labeled test and control RNA samples were fragmented and hybridized to the array overnight. Microarray slides were then washed and scanned with the Agilent G2505C Microarray Scanner, at 2 µM resolution."""""
"GSE97760","scan_protocol","""""Microarray slides were washed and scanned with the Agilent G2505C Microarray Scanner, at 2 µM resolution."""""
"GSE97760","description","""""gene expression in human blood"""""
"GSE97760","data_processing","""""Images were analyzed with Feature Extraction 10.10 (Agilent Technologies). Median foreground intensities were then obtained for each spot and imported into the mathematical software package “R”, which was used for all data input, diagnostic plots, normalization and quality checking steps of the analysis process using scripts developed in-house for this analysis. The data was normalized by the loess method using the LIMMA (Linear models for microarray data) package in “R” as described"""""
"GSE97760","platform_id","""""GPL16699"""""
"GSE97760","contact_name","""""Haiyan,,Fu"""""
"GSE97760","contact_email","""""haiyan.fu@nationwidechildrens.org"""""
"GSE97760","contact_phone","""""6143553572"""""
"GSE97760","contact_laboratory","""""Fu Lab"""""
"GSE97760","contact_department","""""Center for Gene Therapy"""""
"GSE97760","contact_institute","""""Research Institute at Nationwide Childrens Hospital"""""
"GSE97760","contact_address","""""700 Children's Dive"""""
"GSE97760","contact_city","""""Columbus"""""
"GSE97760","contact_state","""""Ohio"""""
"GSE97760","contact_zip.postal_code","""""43205"""""
"GSE97760","contact_country","""""USA"""""
"GSE97760","supplementary_file","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2577nnn/GSM2577046/suppl/GSM2577046_BGC_253949411394_S01_GE1_1010_Sep10_1_1.txt.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2577nnn/GSM2577047/suppl/GSM2577047_BGC_253949411394_S01_GE1_1010_Sep10_1_2.txt.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2577nnn/GSM2577048/suppl/GSM2577048_BGC_253949411394_S01_GE1_1010_Sep10_1_3.txt.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2577nnn/GSM2577049/suppl/GSM2577049_BGC_253949411394_S01_GE1_1010_Sep10_1_4.txt.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2577nnn/GSM2577050/suppl/GSM2577050_BGC_253949411394_S01_GE1_1010_Sep10_2_1.txt.gz"""""
"GSE97760","data_row_count","""""62976"""""
